,ID,Game,ReleaseDate,Developer,Publisher
313,878120,UniteStar,2018-06-03,SweetApple,SteamWork
314,715310,Urban Rivals,2017-10-18,Acute Games,Acute Games
315,454070,Boundel: The Second Era,2016-11-14,Eren Aydin,Eren Aydin
316,693800,Loco Parentis / 孤女咒怨,2019-09-19,Fair Games Studio,"Fair Games Studio, Huiyin Studio"
317,574070,Space Wars: Interstellar Empires,2017-12-08,Desert Owl Games LLC,ToHeroes Game Studios LLC
318,385530,Астролорды: Облако Оорта,2015-09-29,Aratog LLC,Tartezal Holdings Ltd.
319,230330,FINAL FANTASY XI: Ultimate Collection Seekers Edition,2013-04-19,Square Enix,Square Enix
320,801880,Drift Tuner 2019,2018-03-26,S&COR Games,S&COR Games
321,497940,Destiny of Ancient Kingdoms,2016-08-30,Utopia Dream Entertainment Alliance (Pty) Ltd - South Africa,Utopia Dream Entertainment Alliance (Pty) Ltd - South Africa
322,1199640,Cave to Kingdom,2019-12-18,Iubisoft System SRL,Iubisoft System SRL
323,1240290,Infestation: Battle Royale,2020-03-04,Fredaikis AB,OP Productions LLC
324,777150,Adventure Land - The Code MMORPG,2019-01-28,Kaan Soral,Kaan Soral
325,460570,Starfall Online,2020-02-20,Snowforged Entertainment,Snowforged Entertainment
326,969880,Terrible Beast from the East,2019-01-03,Sleeping Hero,SakuraGame
327,347630,16 Bit Arena,2015-03-24,16bitarena.com,16bitarena.com
328,1049840,Haramatia,2019-03-27,Salavat Kasimov,Sevite byte studio
329,664890,Undoing,2019-01-31,Minibeast LLC,Minibeast LLC
330,1112330,NORR part I: Ace Shot,2019-07-23,GWE games,GWE games
331,1122870,Mazi Remastered,2019-11-11,"SYYazılım, Webyilmaz","SYYazılım, Webyilmaz"
332,1191390,strike mole,2019-12-05,lize,lize
333,1145240,Dawn of the Dragons: Ascension,2019-11-01,5th Planet Games Development ApS,5th Planet Games Development ApS
334,480500,Dogfight Elite,2016-06-11,Echoboom S.L.,Echoboom S.L.
335,498940,"WarBirds Dawn of Aces, World War I Air Combat",2016-07-19,iEntertainment Network Inc,iEntertainment Network Inc
336,438100,VRChat,2017-02-01,VRChat Inc.,VRChat Inc.
337,397900,Business Tour - Board Game with Online Multiplayer (大富翁),2017-07-27,Creobit,8Floor
338,650740,Leap of Champions,2020-02-02,LEAF games and software,LEAF games and software
